Proportion Correct No Flicker,Proportion Correct Flicker,RT (ms) No Flicker,RT (ms) Flicker
1,0.875,3513.625,7434.75
0.75,0.875,7011.375,5225
1,0.625,3756.25,4715.125
0.875,0.75,2808.25,3411.875
0.875,0.75,2754.875,2914
1,0.625,3335.75,4584.625
1,0.5,12515.125,12029.875
1,0.875,3789.375,8700
1,0.75,4805.5,10037.5
1,1,3848.25,5318.25
1,0.875,5559.125,24257.125
1,1,9039.625,14014.125
1,1,4894.625,5124.125
0.75,0.75,2984.25,7623.25
1,0.75,4037.75,7010.625
1,0.75,4097.5,8327.625
1,0.25,4728.875,10526.75
1,0.5,3796,4395.75
1,0.875,5351.625,10853.875
0.875,0.625,3803.375,6577.75
1,0.75,11117.875,22333.25
0.875,0.875,3798.5,8071.25
1,0.875,8818.5,18648.5
1,0.625,3788.5,5360.75
1,0.625,3146.125,4226.75
0.75,0.375,4228.875,3773.375
1,0.75,4098.625,10746
0.875,0.5,6309,10617.625
0.75,0.875,3338.5,3451
0.875,0.5,5646.625,9876.375
1,0.875,3660.875,8030.25
1,1,3316.5,8005.125
1,0.875,7488.375,12202
1,0.625,4798.625,8993.875
1,0.75,8059.25,8442.75
1,1,7547.625,6923.25
0.875,0.875,6285.25,5898.875
1,0.75,3576.5,5514.875
1,0.625,6135.125,7168.625
1,0.625,2994.125,3596.5
0.875,0.625,2992.875,3286.875
1,0.875,5846,10259.75
1,0.75,4288.375,16552.75
0.5,0.5,405.125,207
1,0.75,5375.125,5716
0.875,0.75,8146,11369.25
1,1,5799,12429.375
1,0.875,4183.125,7022.375
0.875,0.875,2422.125,4255.375
1,0.75,3555.375,5240.5
0.875,0.875,4960.25,11700
1,0.625,5225.75,7036.25
0.875,0.75,2630.75,5891.625
1,0.75,3925.5,4940
1,0.75,3644.125,9344.25
1,0.625,3701.5,3287.125
0.75,0.625,3122.125,2456.25
1,1,3903,6600.125
0.875,0.625,5192,5582
0.875,0.75,5376.5,44182
1,0.75,4055.25,16368
1,0.75,5696.75,7003.75
1,0.5,3518,4366.75
1,0.875,3357.125,4206.125
1,0.5,6713.75,7281.75
0.875,0.375,6942.125,7301.75
0.875,0.625,5475.875,8706.125
0.875,0.375,2704.625,3215.5
0.875,0.875,5305.5,7303.625
